population_id,zip_code,average_pop
151,1032,605
152,1033,"6,228"
153,1034,"2,082"
154,1035,"5,271"
155,1036,"5,132"
156,1037,743
157,1038,"2,727"
158,1039,"1,384"
159,1040,"40,072"
160,1050,"2,539"
161,1053,"1,821"
162,1054,"1,854"
163,1056,"21,231"
164,1057,"8,625"
165,1060,"15,192"
166,1062,"10,984"
167,1063,598
168,1066,14
169,1068,"1,825"
170,1069,"8,853"
171,1070,575
172,1071,"1,436"
173,1072,"1,485"
174,1073,"5,902"
175,1074,251
176,1075,"17,711"
177,1077,"9,552"
178,1079,546
179,1080,"2,302"
180,1081,"1,775"
181,1082,"10,364"
182,1083,"3,012"
183,1084,197
184,1085,"40,964"
185,1086,"1,011"
186,1088,544
187,1089,"28,478"
188,1092,"1,276"
189,1093,305
190,1094,305
191,1095,"14,377"
192,1096,"2,335"
193,1097,68
194,1098,"1,117"
195,1103,"2,475"
196,1104,"22,967"
197,1105,"12,305"
198,1106,"16,039"
199,1107,"11,389"
200,1108,"26,466"
201,1109,"30,855"
202,1118,"14,035"
203,1119,"14,058"
204,1128,"2,535"
205,1129,"7,254"
206,1151,"8,949"
207,1199, -   
208,1201,"45,787"
209,1220,"8,535"
210,1222,821
211,1223,"2,328"
212,1224,229
213,1225,"3,088"
214,1226,"6,949"
215,1229,129
216,1230,"8,315"
217,1235,"2,852"
218,1236,"1,485"
219,1237,"2,640"
220,1238,"6,113"
221,1240,"4,604"
222,1242,399
223,1243,333
224,1244,136
225,1245,856
226,1247,"15,972"
227,1253,686
228,1254,"1,037"
229,1255,905
230,1256,714
231,1257,"2,146"
232,1258,327
233,1259,570
234,1260,284
235,1262,"1,211"
236,1264,151
237,1266,"1,498"
238,1267,"7,948"
239,1270,790
240,1301,"17,771"
241,1330,"1,508"
242,1331,"13,340"
243,1337,"2,581"
244,1338,196
245,1339,"1,488"
246,1340,"1,707"
247,1341,"1,711"
248,1342,"1,525"
249,1343,73
250,1344,"1,521"
251,1346,461
252,1347,120
253,1349,976
254,1350,112
255,1351,"2,284"
256,1354,"1,556"
257,1355,918
258,1360,"3,029"
259,1364,"7,926"
260,1366,"1,276"
261,1367,573
262,1368,"1,209"
263,1370,"4,100"
264,1373,"4,484"
265,1375,"3,685"
266,1376,"5,344"
267,1378,685
268,1379,901
269,1420,"40,379"
270,1430,"6,112"
271,1431,"3,115"
272,1432,"7,231"
273,1434,"1,671"
274,1436,"3,684"
275,1438,466
276,1440,"20,365"
277,1450,"10,850"
278,1451,"4,795"
279,1452,"4,421"
280,1453,"41,084"
281,1460,"9,109"
282,1462,"10,563"
283,1463,"11,693"
284,1464,"7,358"
285,1467,454
286,1468,"3,824"
287,1469,"7,063"
288,1473,"7,341"
289,1474,"2,035"
290,1475,"10,409"
291,1501,"16,122"
292,1503,"2,909"
293,1504,"9,046"
294,1505,"4,385"
295,1506,"3,386"
296,1507,"13,060"
297,1510,"13,662"
298,1515,"2,195"
299,1516,"8,554"
300,1518,"2,872"
301,1519,"6,478"
302,1520,"14,482"
303,1521,"2,480"
304,1522,"3,142"
305,1523,"7,646"
306,1524,"6,869"
307,1525,170
308,1527,"13,308"
309,1529,"3,192"
310,1531,"1,087"
311,1532,"14,511"
312,1534,"5,761"
313,1535,"4,709"
314,1536,"7,211"
315,1537,"2,408"
316,1540,"11,186"
317,1541,"3,430"
318,1542,"1,944"
319,1543,"8,105"
320,1545,"35,617"
321,1550,"16,777"
322,1560,"4,435"
323,1561,243
324,1562,"11,738"
325,1564,"7,849"
326,1566,"6,438"
327,1568,"7,430"
328,1569,"13,590"
329,1570,"16,790"
330,1571,"11,467"
331,1581,"18,439"
332,1583,"7,607"
333,1585,"4,586"
334,1588,"9,961"
335,1590,"8,963"
336,1602,"23,402"
337,1603,"19,746"
338,1604,"35,249"
339,1605,"27,138"
340,1606,"19,466"
341,1607,"8,702"
342,1608,"3,616"
343,1609,"21,195"
344,1610,"23,938"
345,1611,"2,429"
346,1612,"4,854"
347,1701,"31,497"
348,1702,"37,922"
349,1718,427
350,1719,"5,078"
351,1720,"21,816"
352,1721,"16,834"
353,1730,"13,608"
354,1731,"1,828"
355,1740,"4,971"
356,1741,"4,946"
357,1742,"18,583"
358,1745,373
359,1746,"13,867"
360,1747,"5,925"
361,1748,"15,379"
362,1749,"19,285"
363,1752,"38,861"
364,1754,"10,264"
365,1756,"5,871"
366,1757,"28,282"
367,1760,"33,625"
368,1770,"4,174"
369,1772,"9,447"
370,1773,"4,963"
371,1775,"6,751"
372,1776,"17,995"
373,1778,"13,324"
374,1801,"39,078"
375,1803,"24,845"
376,1810,"33,872"
377,1821,"30,883"
378,1824,"25,168"
379,1826,"29,994"
380,1827,"3,243"
381,1830,"25,702"
382,1832,"22,325"
383,1833,"8,300"
384,1834,"6,600"
385,1835,"13,387"
386,1840,"4,813"
387,1841,"47,627"
388,1843,"24,828"
389,1844,"47,812"
390,1845,"28,748"
391,1850,"15,918"
392,1851,"29,934"
